,ID,location_name,lat,long
413,2353572,Yartenga,11.71667,-0.15
414,2353573,Yarsi,12.86667,-2.0666700000000002
415,2353574,Yarseyi,12.21667,-2.05
416,2353575,Yarsin,12.74756,-1.77147
417,2353576,Yarse,13.615110000000001,-0.88421
418,2353577,Yarse,12.6587,-1.00911
419,2353578,Yargo,12.96415,-1.91783
420,2353579,Yarogo,12.88333,-2.46667
421,2353580,Toubre,12.841610000000001,-1.5353
422,2353581,Yarogo,12.71411,-1.7213
423,2353582,Yarogo,11.81667,-1.2833299999999999
424,2353583,Yaroguin,12.393889999999999,-1.98386
425,2353584,Yarobade,12.98333,0.08333
426,2353585,Yaro,10.8,-3.45
427,2353586,Yaro,11.25,-1.2
428,2353587,Yarkare,12.2,-0.13333
429,2353588,Yalka,13.44244,-2.49931
430,2353589,Yari,13.348239999999999,-0.07835
431,2353590,Yargou,12.68333,0.48333000000000004
432,2353591,Yargo,13.63115,-2.64266
433,2353592,Yargo,13.46735,-1.55519
434,2353593,Yargo,13.39885,-2.60429
435,2353594,Yargo,13.1723,-1.85608
436,2353595,Yargo,13.05097,-1.37497
437,2353596,Yargo,12.7376,-1.29865
438,2353597,Yargo,12.65,-0.58333
439,2353598,Yargo,12.36667,-0.86667
440,2353599,Yargo,12.31667,-0.51667
441,2353600,Yargo,12.26667,-0.43333
442,2353601,Yargo,12.23333,-0.36667
443,2353602,Yargo,12.21667,-2.08333
444,2353603,Yargo,12.18333,-2.1833299999999998
445,2353604,Yargo,12.06667,-0.28333
446,2353605,Yargo,11.81667,-1.15
447,2353606,Yargatenga,11.2125,0.00528
448,2353607,Yarga,13.227789999999999,-0.02872
449,2353608,Yareyoume,12.3,-0.06667000000000001
450,2353609,Seno Yarendi,14.80505,-0.77394
451,2353610,Yarebila,12.81667,-2.0
452,2353611,Yaraye,13.2123,-4.2199
453,2353612,Yaran,13.427999999999999,-4.0018
454,2353613,Yaran,12.96667,-3.45
455,2353614,Yaramou,10.26667,-5.0166699999999995
456,2353615,Yaramoko,11.78823,-3.2924900000000004
457,2353616,Yapala,11.08333,-0.48333000000000004
458,2353617,Yaouren,12.56667,-0.75
459,2353618,Yaongo,12.62182,-0.26469000000000004
460,2353619,Yaogue,13.159970000000001,-1.6052899999999999
461,2353620,Yaogo,12.566360000000001,1.29929
462,2353621,Yaoguen,12.79031,-1.02746
463,2353622,Yaoghin,12.60268,-1.35277
464,2353623,Yaoghin,12.3298,-1.60734
465,2353624,Yaogen,12.23333,-2.1
466,2353625,Yaoghin,12.193769999999999,-1.76279
467,2353626,Yanyonade,13.189620000000001,0.17514000000000002
468,2353627,Yante Digna,14.15121,-2.17778
469,2353628,Yantara,13.42945,0.65042
470,2353629,Yansare,12.09481,-1.43515
471,2353630,Yankoro,12.01667,-3.35
472,2353631,Yankasso,12.205810000000001,-3.1993400000000003
473,2353632,Yanga,12.73354,-1.31263
474,2353633,Yanga,12.47786,-1.4995399999999999
475,2353634,Yanga,12.12515,-1.31368
476,2353635,Yanengue,12.59507,-1.5149299999999999
477,2353636,Yandima,12.66667,0.25
478,2353637,Yandeguen,12.260060000000001,-1.97427
479,2353638,Yandaga,12.88112,-1.00779
480,2353639,Yamtohiga,12.7075,-1.7962099999999999
481,2353640,Yamtenga,12.34849,-1.44766
482,2353641,Yamou,12.03333,-3.33333
483,2353642,Yamotenga,12.56667,-0.8
484,2353643,Yamganguen,12.06667,-0.43333
485,2353644,Yamboumbou,14.12623,-2.09063
486,2353645,Yamba,12.52205,-1.4982
487,2353646,Yanmba,12.29745,0.33864
488,2353647,Yamanye,13.18377,-1.7330400000000001
489,2353649,Yamana,12.81066,-1.32026
490,2353650,Yamako,11.93333,-1.0333299999999999
491,2353651,Yamagyo,12.6,-2.6
492,2353652,Yama,13.39675,0.9252799999999999
493,2353653,Yaltenga,12.951089999999999,-1.90685
494,2353654,Yalshrika,13.13406,-0.35854
495,2353655,Yalgoueogo,12.90822,-1.00647
496,2353656,Yalore,13.23664,-0.43513
497,2353657,Yalogwengo,13.163070000000001,-1.4121
498,2353658,Yalo Gourounga,11.95,-1.91667
499,2353659,Yalogo,12.48075,-1.0748
500,2353660,Yalogo,13.48008,-0.8225
501,2353661,Yalogo,12.53333,-0.6
502,2353662,Yalogen,12.81667,-0.58333
503,2353663,Yallo,12.98333,-3.93333
504,2353664,Yalle,13.371310000000001,-2.27658
505,2353665,Yalkoum,13.49276,-0.11875999999999999
506,2353666,Yalka,13.49045,-2.5682400000000003
507,2353667,Yalka,13.4985,-1.54752
508,2353668,Yali,13.523370000000002,0.44766999999999996
509,2353669,Yargo,12.94978,-1.26472
510,2353670,Yalgo,12.93333,-0.85
511,2353672,Yalga,13.48538,0.70523
512,2353673,Yalga,13.2674,-1.43688
513,2353674,Yalema,14.6265,-1.24565
514,2353675,Yale,11.23333,-1.9666700000000001
515,2353676,Yelbouga,11.11917,-1.91639
516,2353677,Yalatenga,12.79903,-1.52607
517,2353678,Yalasso,11.2,-3.9
518,2353679,Yalankoro,13.2683,-3.9172
